GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
hudi-spark-bundle_2.11/hudi-common,org.apache.hudi.common.table.log.block,HoodieAvroDataBlock,539,0,30,0,123,0,27,0,12,0
hudi-spark-bundle_2.11/hudi-common,org.apache.hudi.common.table.log.block,HoodieDeleteBlock,145,0,14,0,33,0,13,0,6,0
hudi-spark-bundle_2.11/hudi-common,org.apache.hudi.common.table.log.block,HoodieLogBlockVersion,9,0,0,0,4,0,2,0,2,0
hudi-spark-bundle_2.11/hudi-common,org.apache.hudi.common.table.log.block,HoodieDeleteBlockVersion,4,0,0,0,2,0,1,0,1,0
hudi-spark-bundle_2.11/hudi-common,org.apache.hudi.common.table.log.block,HoodieCommandBlock.HoodieCommandBlockTypeEnum,14,0,0,0,2,0,1,0,1,0
hudi-spark-bundle_2.11/hudi-common,org.apache.hudi.common.table.log.block,HoodieCommandBlockVersion,4,0,0,0,2,0,1,0,1,0
hudi-spark-bundle_2.11/hudi-common,org.apache.hudi.common.table.log.block,HoodieLogBlock.HoodieLogBlockContentLocation,27,0,0,0,10,0,5,0,5,0
hudi-spark-bundle_2.11/hudi-common,org.apache.hudi.common.table.log.block,HoodieAvroDataBlockVersion,11,0,2,0,5,0,3,0,2,0
hudi-spark-bundle_2.11/hudi-common,org.apache.hudi.common.table.log.block,HoodieLogBlock.FooterMetadataType,4,0,0,0,1,0,1,0,1,0
hudi-spark-bundle_2.11/hudi-common,org.apache.hudi.common.table.log.block,HoodieLogBlock,236,0,8,0,63,0,20,0,16,0
hudi-spark-bundle_2.11/hudi-common,org.apache.hudi.common.table.log.block,HoodieCommandBlock,54,0,0,0,11,0,6,0,6,0
hudi-spark-bundle_2.11/hudi-common,org.apache.hudi.common.table.log.block,HoodieLogBlock.HeaderMetadataType,44,0,0,0,2,0,1,0,1,0
hudi-spark-bundle_2.11/hudi-common,org.apache.hudi.common.table.log.block,HoodieLogBlock.HoodieLogBlockType,44,0,0,0,2,0,1,0,1,0
hudi-spark-bundle_2.11/hudi-common,org.apache.hudi.common.table.log.block,HoodieCorruptBlock,42,0,4,0,8,0,6,0,4,0
hudi-spark-bundle_2.11/hudi-common,org.apache.hudi.common,HoodieCleanStat.Builder,57,0,2,0,15,0,9,0,8,0
hudi-spark-bundle_2.11/hudi-common,org.apache.hudi.common,HoodieJsonPayload,121,0,2,0,25,0,11,0,10,0
hudi-spark-bundle_2.11/hudi-common,org.apache.hudi.common,HoodieRollbackStat.Builder,77,0,2,0,11,0,10,0,9,0
hudi-spark-bundle_2.11/hudi-common,org.apache.hudi.common,HoodieCleanStat,84,0,0,0,16,0,9,0,9,0
hudi-spark-bundle_2.11/hudi-common,org.apache.hudi.common,SerializableConfiguration,75,0,0,0,17,0,8,0,8,0
hudi-spark-bundle_2.11/hudi-common,org.apache.hudi.common,HoodieRollbackStat,31,0,0,0,11,0,6,0,6,0
hudi-spark-bundle_2.11/hudi-common,org.apache.hudi.common.util,NumericUtils,56,0,2,0,6,0,3,0,2,0
hudi-spark-bundle_2.11/hudi-common,org.apache.hudi.common.util,FSUtils,1186,0,84,0,192,0,101,0,59,0
